,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
91,108,Maldives,MDV,4109416450.0,4379134273.0,4754185599.0,5300949823.0,5609385434.0,4830614316
92,109,Mali,MLI,13104764379.0,14026048334.0,15365713059.0,17070867578.0,17280250805.0,15369528831
93,110,Malta,MLT,11091467514.0,11667976403.0,13489296992.0,15298004130.0,15881258056.0,13485600619
94,112,Mauritania,MRT,6166863960.0,6398741856.0,6800138755.0,7473550557.0,8066118984.0,6981082822
95,113,Mauritius,MUS,12007291046.0,12594155346.0,13713505998.0,14735695931.0,14436347115.0,13497399087
96,114,Mexico,MEX,1170000000000.0,1080000000000.0,1160000000000.0,1220000000000.0,1270000000000.0,1.18E+12
97,116,Moldova,MDA,7798692878.0,7982450758.0,9519053158.0,11253727815.0,11735774634.0,9657939849
98,118,Mongolia,MNG,11619892593.0,11181350649.0,11480847740.0,13178094720.0,14206359016.0,12333308944
99,119,Montenegro,MNE,4054728173.0,4376929572.0,4856602179.0,5506944403.0,5542053845.0,4867451634
100,120,Morocco,MAR,110000000000.0,112000000000.0,119000000000.0,127000000000.0,129000000000.0,1.19E+11
101,121,Mozambique,MOZ,15950979333.0,11936993087.0,13219079498.0,14845400593.0,15390031040.0,14268496710
102,122,Myanmar,MMR,63045306514.0,60291738935.0,61449391917.0,67144726168.0,68697761477.0,64125785002
103,123,Namibia,NAM,11335161230.0,10722018975.0,12895153160.0,13682019172.0,12541928103.0,12235256128
104,125,Nepal,NPL,24360801338.0,24524109485.0,28971588881.0,33111525183.0,34186180695.0,29030841116
105,126,Netherlands,NLD,766000000000.0,784000000000.0,834000000000.0,914000000000.0,910000000000.0,8.42E+11
106,127,New Zealand,NZL,178000000000.0,189000000000.0,207000000000.0,212000000000.0,213000000000.0,2.00E+11
107,128,Nicaragua,NIC,12756722238.0,13286066155.0,13785890939.0,13025266513.0,12699028890.0,13110594947
108,129,Niger,NER,9683867927.0,10398861981.0,11185101444.0,12808661487.0,12916454871.0,11398589542
109,130,Nigeria,NGA,493000000000.0,405000000000.0,376000000000.0,422000000000.0,475000000000.0,4.34E+11
110,131,North Macedonia,MKD,10064519963.0,10672467073.0,11307067001.0,12683068033.0,12606338449.0,11466692104
111,133,Norway,NOR,388000000000.0,371000000000.0,402000000000.0,440000000000.0,409000000000.0,4.02E+11
112,134,Oman,OMN,78710793238.0,75128738622.0,80856697009.0,91505851756.0,88060858257.0,82852587776
113,135,Pakistan,PAK,271000000000.0,314000000000.0,339000000000.0,356000000000.0,321000000000.0,3.20E+11
114,137,Panama,PAN,54091800000.0,57907700000.0,62202700000.0,67294169235.0,69721787533.0,62243631354
115,138,Papua New Guinea,PNG,21723439626.0,20758874953.0,22742696408.0,24109780113.0,24751069238.0,22817172068
116,139,Paraguay,PRY,36211372646.0,36089550672.0,38997129809.0,40225448651.0,37925338460.0,37889768048
117,140,Peru,PER,190000000000.0,192000000000.0,211000000000.0,223000000000.0,228000000000.0,2.09E+11
118,141,Philippines,PHL,306000000000.0,319000000000.0,328000000000.0,347000000000.0,377000000000.0,3.35E+11
119,142,Poland,POL,477000000000.0,470000000000.0,525000000000.0,589000000000.0,596000000000.0,5.31E+11
120,143,Portugal,PRT,199000000000.0,206000000000.0,221000000000.0,242000000000.0,240000000000.0,2.22E+11
121,145,Qatar,QAT,162000000000.0,152000000000.0,161000000000.0,183000000000.0,176000000000.0,1.67E+11
122,146,Romania,ROU,178000000000.0,185000000000.0,210000000000.0,243000000000.0,251000000000.0,2.14E+11
123,147,Russian Federation,RUS,1360000000000.0,1280000000000.0,1570000000000.0,1660000000000.0,1690000000000.0,1.51E+12
124,148,Rwanda,RWA,8543869360.0,8695318854.0,9252833678.0,9636510839.0,10346675636.0,9295041673
125,149,Samoa,WSM,824150487.2,843924750.7,884844419.8,878448439.5,912950619.4,868863743.3
126,151,Sao Tome and Principe,STP,316066072.3,345495615.0,375614126.2,412253809.7,427425039.7,375370932.6
127,152,Saudi Arabia,SAU,669000000000.0,666000000000.0,715000000000.0,847000000000.0,839000000000.0,7.47E+11
128,153,Senegal,SEN,17774766697.0,19040312331.0,20996562959.0,23116701540.0,23403995985.0,20866467902
129,154,Serbia,SRB,39655949731.0,40692661657.0,44179075779.0,50640662859.0,51514242776.0,45336518560
130,156,Sierra Leone,SLE,4252029354.0,3862721205.0,3719443318.0,4085114542.0,4076578654.0,3999177415
131,157,Singapore,SGP,308000000000.0,319000000000.0,343000000000.0,377000000000.0,377000000000.0,3.45E+11
132,158,Slovak Republic,SVK,88900883131.0,89952699525.0,95649966261.0,106000000000.0,106000000000.0,97270309783
133,159,Slovenia,SVN,43107506024.0,44766722791.0,48589100043.0,54177882426.0,54331588482.0,48994559953
134,160,Solomon Islands,SLB,1307909891.0,1379490315.0,1469789050.0,1615478421.0,1619154958.0,1478364527
135,162,South Africa,ZAF,347000000000.0,324000000000.0,381000000000.0,404000000000.0,389000000000.0,3.69E+11
136,164,Spain,ESP,1200000000000.0,1230000000000.0,1310000000000.0,1420000000000.0,1390000000000.0,1.31E+12
137,165,Sri Lanka,LKA,85140955517.0,88012281910.0,94376237832.0,94493871351.0,89014978319.0,90207664986
