,index,Country Name,Code,2015,2016,2017,2018,2019,Average
93,108,Mali,MLI,2.7002258,2.7144477,2.7254133,2.7274408,2.7260087,2.71870726
94,109,Malta,MLT,6.297858,6.2660394,6.233048,6.2330823,6.2475963,6.2555248
95,111,Mauritania,MRT,2.735382,2.7432876,2.750417,2.7500813,2.7462342,2.74508042
96,112,Mauritius,MUS,3.8378968,3.820273,3.803891,3.8049724,3.8150282,3.81641228
97,113,Mexico,MEX,3.5079157,3.5043697,3.50363,3.5065103,3.5132816,3.50714146
98,114,Micronesia (country),FSM,4.035527,4.0237045,4.011266,4.017107,4.0343943,4.02439976
99,115,Moldova,MDA,4.095845,4.088228,4.079621,4.077924,4.078755,4.0840746
100,117,Mongolia,MNG,1.8995618,2.0148997,2.132655,2.142245,2.1429229,2.06645688
101,118,Montenegro,MNE,3.656462,3.6486156,3.6421812,3.6464674,3.6586478,3.6504748
102,119,Morocco,MAR,4.7548194,4.7496805,4.7444887,4.7616,4.7997293,4.76206358
103,120,Mozambique,MOZ,4.015483,4.0256143,4.03458,4.036481,4.035234,4.02947846
104,121,Myanmar,MMR,3.9246993,3.9368222,3.949501,3.960988,3.9770174,3.94980558
105,122,Namibia,NAM,3.518553,3.5290196,3.535035,3.522311,3.49189,3.51936172
106,124,Nepal,NPL,3.2301276,3.243605,3.253265,3.2634146,3.2773163,3.2535457
107,125,Netherlands,NLD,6.985626,6.862225,6.7336164,6.7326035,6.7548013,6.81377444
108,126,New Zealand,NZL,7.2632656,7.2546983,7.2475195,7.2523446,7.263469,7.2562594
109,127,Nicaragua,NIC,4.3427973,4.353681,4.361744,4.364421,4.3657975,4.35768816
110,128,Niger,NER,2.9460173,2.9659634,2.9800065,2.9785042,2.9678462,2.96766752
111,129,Nigeria,NGA,2.9940662,2.9935284,2.9942634,2.9934886,2.9917774,2.9934248
112,130,North Korea,PRK,3.6247585,3.6050406,3.5852828,3.5908568,3.61212,3.60361174
113,131,North Macedonia,MKD,3.6026604,3.594225,3.5864341,3.586699,3.5915322,3.59231014
114,133,Norway,NOR,6.7566686,6.7417626,6.729138,6.729469,6.7358413,6.7385759
115,134,Oman,OMN,4.5969,4.5663915,4.5516553,4.576232,4.61154,4.58054376
116,135,Pakistan,PAK,3.449933,3.4533894,3.4564939,3.4630315,3.474194,3.45940836
117,137,Palestine,PSE,5.5333457,5.53101,5.527253,5.5319905,5.5458045,5.53388074
118,138,Panama,PAN,3.629907,3.6460195,3.6576738,3.659416,3.6566825,3.64993976
119,139,Papua New Guinea,PNG,3.9850328,3.9818754,3.9786406,3.983458,3.995107,3.98482276
120,140,Paraguay,PRY,6.2584696,6.276625,6.29034,6.2973714,6.304892,6.2855396
121,141,Peru,PER,5.5514746,5.5492983,5.544992,5.5464654,5.551791,5.54880426
122,142,Philippines,PHL,4.546857,4.5470963,4.5474305,4.552434,4.563437,4.55145096
123,143,Poland,POL,3.0975196,3.0851579,3.0739503,3.0749567,3.082497,3.0828163
124,144,Portugal,PRT,7.8879485,7.933356,7.9895625,8.012169,8.02761,7.9701292
125,146,Qatar,QAT,4.2422414,4.240043,4.237298,4.245882,4.26387,4.24586688
126,147,Romania,ROU,3.2939792,3.2813609,3.2700632,3.27324,3.2856169,3.28085204
127,148,Russia,RUS,3.143293,3.1418722,3.1396313,3.1370676,3.1336958,3.13911198
128,149,Rwanda,RWA,3.6238823,3.6499035,3.6708448,3.6686664,3.6533618,3.65333176
129,150,Saint Kitts and Nevis,KNA,4.300184,4.292861,4.284662,4.291773,4.308869,4.2956698
130,151,Saint Lucia,LCA,4.3025293,4.3061876,4.3075786,4.3077927,4.307126,4.30624284
131,152,Saint Vincent and the Grenadines,VCT,4.273169,4.272804,4.2726574,4.281775,4.2993255,4.27994618
132,153,Samoa,WSM,4.016929,4.0080247,3.9990788,4.0073843,4.027854,4.01185416
133,155,Sao Tome and Principe,STP,3.0681646,3.0756378,3.0824304,3.084049,3.0837884,3.07881404
134,156,Saudi Arabia,SAU,4.543237,4.537617,4.5301,4.536592,4.5544286,4.54039492
135,157,Senegal,SEN,2.8907769,2.8942425,2.896549,2.8957472,2.8934357,2.89415026
136,158,Serbia,SRB,3.3545988,3.3464797,3.3387032,3.3362787,3.33539,3.34229008
137,160,Sierra Leone,SLE,3.6559048,3.6671956,3.6765845,3.6738265,3.6633224,3.66736676
138,161,Singapore,SGP,2.7010484,2.6995094,2.7036145,2.7074525,2.7080863,2.70394222
139,162,Slovakia,SVK,3.4395785,3.4296978,3.4204469,3.4206145,3.4256656,3.42720066
140,163,Slovenia,SVN,3.3889303,3.3792083,3.3704271,3.3750324,3.3891728,3.38055418
141,164,Solomon Islands,SLB,4.018382,4.0123305,4.0058246,4.0126333,4.0285625,4.01554658
142,166,South Africa,ZAF,3.7973688,3.8023183,3.8060372,3.799989,3.786144,3.79837146
143,167,South Korea,KOR,3.4968655,3.3655744,3.234224,3.2268293,3.2213244,3.30896352
144,169,Spain,ESP,5.3248467,5.3299813,5.331112,5.1842403,4.8611727,5.2062706
145,170,Sri Lanka,LKA,3.979954,3.9985235,4.0158405,4.025531,4.0355477,4.01107934
146,171,Sudan,SDN,4.7269845,4.718628,4.7097893,4.720341,4.745971,4.72434276
147,173,Sweden,SWE,4.8231792,4.815395,4.804309,4.7994685,4.795127,4.80749574
148,174,Switzerland,CHE,6.8399982,6.817221,6.7933817,6.78825,6.79061,6.80589218
149,175,Syria,SYR,5.5730925,5.577325,5.5742683,5.5849195,5.60757,5.58343506
150,177,Tanzania,TZA,3.814624,3.8277,3.8364716,3.8305063,3.8125863,3.82437764
151,178,Thailand,THA,3.3612075,3.3660066,3.371346,3.3815641,3.399738,3.37597244
152,179,Togo,TGO,3.583903,3.590056,3.5949838,3.5949163,3.592497,3.59127122
153,180,Tonga,TON,4.057681,4.0512667,4.0438924,4.0495234,4.062976,4.0530679
154,181,Trinidad and Tobago,TTO,3.8519013,3.8541481,3.8548582,3.8609302,3.8713686,3.85864128
155,182,Tunisia,TUN,5.124069,5.11991,5.113446,5.1289725,5.164141,5.1301077
156,183,Turkey,TUR,4.506104,4.495325,4.4827275,4.4908495,4.513604,4.497722
157,186,Uganda,UGA,4.0859733,4.1056433,4.118843,4.1086917,4.080157,4.09986166
158,187,Ukraine,UKR,3.1196241,3.121358,3.1236935,3.1275187,3.133128,3.12506446
159,188,United Arab Emirates,ARE,4.182391,4.179534,4.173518,4.1973176,4.243272,4.19520652
160,189,United Kingdom,GBR,4.472304,4.458649,4.4451113,4.4479036,4.4602027,4.45683412
161,190,United States,USA,5.172533,5.168079,5.1753254,5.342051,5.6977477,5.31114722
162,191,United States Virgin Islands,VIR,4.356463,4.350784,4.3443837,4.350337,4.365093,4.35341214
163,192,Uruguay,URY,5.148032,5.143855,5.1376667,5.1423693,5.1539445,5.1451735
164,193,Uzbekistan,UZB,2.0145924,2.0155456,2.0170155,2.0199776,2.0256548,2.01855718
165,194,Vanuatu,VUT,4.0170455,4.010636,4.003594,4.0111556,4.02928,4.01434222
166,195,Venezuela,VEN,3.9401329,3.964918,3.98813,3.997182,3.9995134,3.97797526
167,196,Vietnam,VNM,2.285857,2.2829254,2.2774224,2.2799327,2.2873394,2.28269538
168,197,Yemen,YEM,4.7783246,4.7678404,4.758836,4.7654386,4.7837157,4.77083106
169,198,Zambia,ZMB,3.9632332,3.9769988,3.984899,3.9814715,3.9692068,3.97516186
170,199,Zimbabwe,ZWE,3.1840122,3.1871476,3.1884181,3.172111,3.1370168,3.17374114
