,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
114,136,New Zealand,NZL,38630.72659,40058.19616,42910.97284,43236.88669,42796.43058,41526.64257
115,137,Oman,OMN,18777.43306,17082.2062,17802.57512,19887.57431,19132.15227,18536.38819
116,138,Pakistan,PAK,1282.443026,1468.822077,1567.64062,1620.742596,1437.165834,1475.362831
117,139,Panama,PAN,13669.55944,14382.23238,15185.97248,16156.07429,16472.83175,15173.33407
118,140,Peru,PER,6180.118799,6163.861179,6676.307788,6912.104623,6955.88177,6577.654832
119,141,Philippines,PHL,2974.29692,3038.152046,3077.434432,3194.672704,3413.849067,3139.681034
120,143,Papua New Guinea,PNG,2502.073746,2332.675664,2495.140474,2584.327738,2593.775798,2501.598684
121,144,Poland,POL,12560.05142,12378.81176,13815.49995,15504.50894,15700.01358,13991.77713
122,147,Portugal,PRT,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,21525.17614
123,148,Paraguay,PRY,5861.389724,5759.018333,6136.058354,6242.961502,5807.838814,5961.453345
124,149,West Bank and Gaza,PSE,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3527.86357
125,150,Qatar,QAT,66984.9102,58467.23557,59407.69805,66264.08117,62827.39695,62790.26439
126,151,Romania,ROU,8976.955236,9404.380487,10727.97175,12494.42464,12957.99911,10912.34624
127,152,Russian Federation,RUS,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10312.37227
128,153,Rwanda,RWA,733.8228504,728.806677,756.5476049,768.9641303,806.1280144,758.8538554
129,154,Saudi Arabia,SAU,20442.36606,19930.40754,20910.48296,24175.58312,23405.70611,21772.90916
130,155,Sudan,SDN,2226.409424,2614.294434,3188.769287,769.8691406,748.0109253,1909.470642
131,156,Senegal,SEN,1238.1264,1290.749971,1385.199215,1484.227069,1462.678352,1372.196201
132,157,Singapore,SGP,55645.60686,56895.64334,61164.89736,66836.53851,66070.47067,61322.63135
133,158,Solomon Islands,SLB,2134.805424,2196.283908,2283.578944,2450.482931,2398.772963,2292.784834
134,159,Sierra Leone,SLE,581.2934118,515.4478314,484.4561156,519.6499835,506.6069082,521.4908501
135,160,El Salvador,SLV,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,4008.805286
136,163,Serbia,SRB,5588.979444,5765.203352,6292.546549,7252.403668,7417.206585,6463.26792
137,165,Sao Tome and Principe,STP,1571.49854,1688.375303,1805.524651,1950.629352,1991.738264,1801.553222
138,167,Slovak Republic,SVK,16390.88217,16563.4405,17585.197,19486.39368,19381.59211,17881.50109
139,168,Slovenia,SVN,20890.16643,21678.35947,23514.02546,26123.74713,26016.07868,23644.47543
140,169,Sweden,SWE,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52766.12792
141,170,Eswatini,SWZ,3583.31129,3339.990427,3824.046783,4021.445556,3818.540425,3717.466896
142,173,Chad,TCD,774.4116031,691.9800774,662.8974734,720.2651009,701.6212008,710.2350911
143,174,Togo,TGO,760.2429116,787.2801616,814.4198376,873.5551563,848.3048269,816.7605788
144,175,Thailand,THA,5708.794147,5854.463852,6436.789649,7124.558867,7628.576087,6550.63652
145,178,Timor-Leste,TLS,1322.300887,1347.926361,1283.525882,1239.366087,1584.263822,1355.476608
146,179,Tonga,TON,4117.93037,3978.438212,4367.25563,4649.613513,4878.978188,4398.443183
147,180,Trinidad and Tobago,TTO,18389.53103,15991.10879,16094.66678,16164.16133,15690.9631,16466.08621
148,181,Tunisia,TUN,3960.924849,3796.109011,3569.718839,3577.16946,3477.844271,3676.353286
149,182,Turkiye,TUR,10851.92011,10734.25647,10464.00779,9400.836337,9103.012397,10110.80662
150,184,Tanzania,TZA,929.1072388,942.8813477,975.9245605,1011.59967,1050.932373,982.089038
151,185,Uganda,UGA,864.1800594,753.6844055,766.177604,793.1280823,823.0247328,800.0389768
152,186,Ukraine,UKR,2124.662598,2187.727539,2638.325439,3096.5625,3661.457764,2741.747168
153,187,Uruguay,URY,16950.75338,16837.94038,18995.39702,19026.04961,18098.36155,17981.70039
154,188,United States,USA,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,60496.18655
155,189,Uzbekistan,UZB,2753.971058,2704.677189,1916.764625,1604.258642,1795.201768,2154.974656
156,190,St. Vincent and the Grenadines,VCT,7386.737484,7684.779282,7996.656233,8399.693967,8680.241982,8029.62179
157,193,Vietnam,VNM,2595.234979,2760.717101,2992.071746,3267.225009,3491.091279,3021.268023
158,194,Vanuatu,VUT,2643.886894,2757.203306,3032.19702,3076.835315,3076.589886,2917.342484
159,195,Samoa,WSM,4048.467057,4105.810681,4261.640513,4189.052219,4308.301453,4182.654385
160,197,South Africa,ZAF,6204.929901,5735.066787,6734.475153,7048.508112,6688.774746,6482.35094
161,198,Zambia,ZMB,1307.909649,1249.923143,1495.752138,1475.199836,1268.120941,1359.381141
162,199,Zimbabwe,ZWE,1410.329173,1421.787791,1192.107012,2269.177012,1421.868596,1543.053917
