,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
91,109,Morocco,MAR,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,1.211036851
92,111,Moldova,MDA,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514,6.097723355
93,112,Madagascar,MDG,7.404191742,6.035758582,8.609050754,8.594229589,5.610514415,7.250749016
94,113,Maldives,MDV,0.953206659,0.502509414,2.817473382,-0.133373386,0.220029731,0.87196916
95,114,Mexico,MEX,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,4.023823462
96,116,North Macedonia,MKD,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,0.607432038
97,117,Mali,MLI,1.450690576,-1.799647071,1.759857429,0.299546507,-1.658266948,0.010436099
98,118,Malta,MLT,1.100548264,0.642702772,1.364354482,1.157823625,1.642060018,1.181497832
99,119,Myanmar,MMR,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,7.330585866
100,120,Montenegro,MNE,1.548691582,-0.271385023,2.380235991,2.611223783,0.361563705,1.326066008
101,121,Mongolia,MNG,5.735682819,0.733272227,4.301431053,6.824247901,7.301069536,4.979140707
102,123,Mozambique,MOZ,3.550759674,17.41804182,15.11320739,3.9113344,2.802703079,8.559209273
103,124,Mauritania,MRT,3.254726881,1.471710456,2.254276519,3.067359961,2.300092621,2.469633288
104,125,Mauritius,MUS,1.286549708,0.977675135,3.666997027,3.216053831,0.40565519,1.910586178
105,126,Malawi,MWI,21.86734755,21.71111321,11.54339392,12.42017811,9.370836056,15.38257377
106,127,Malaysia,MYS,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,1.922751716
107,128,Namibia,NAM,3.394015384,6.728582346,6.145799811,4.291591053,3.722394144,4.856476548
108,129,Niger,NER,-0.57609037,1.653889224,2.796373189,2.96760366,-2.489792651,0.87039661
109,130,Nigeria,NGA,9.00943498,15.69681264,16.50226621,12.09510652,11.39642234,12.94000854
110,131,Nicaragua,NIC,3.997379967,3.523173176,3.850671663,4.94723728,5.376289908,4.338950399
111,132,Netherlands,NLD,0.600248147,0.316666667,1.381458714,1.703497947,2.633699102,1.327114115
112,133,Norway,NOR,2.171136654,3.55,1.875100596,2.764831345,2.167730033,2.505759726
113,134,Nepal,NPL,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478,5.98323945
114,136,New Zealand,NZL,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902,1.201532305
115,137,Oman,OMN,0.065290133,1.109208058,1.597160603,0.881302104,0.133795057,0.757351191
116,138,Pakistan,PAK,2.529328173,3.765119164,4.08537368,5.078057259,10.5783618,5.207248015
